Age,Gender,Locality,Marital Status,Category,Economic Status,Institution type,Affiliation,Mode of Study,Undergraduate,Postgraduate,Semester,Mother's Education ,Father's Education ,Pre-Owned Disease - Mental,Pre-Owned Disease - Physical ,"PI [In case of some difficult subjects, I can't concentrate in the class.]",PI [While listening to the lectures I keep on making movements.],PI [I become uneasy or uncomfortable about my inability to take the decision about which subject and how much should I study.],PI [I feel like postponing study plan.],PI [I feel to bunk lectures when I do not understand class lectures.],PI [I become uncomfortable as I do not concentrate on my study.],PI [I experience heaviness of head while studying some subjects.],PI [I become anxious with a thought that I have a low intellectual level.],PI [I become uneasy when I fail to remember my study.],PI [I become fatigued after the study.],PI [I experience heaviness in the head when I see books and notes.],PI [I become uneasy with the idea of whether to play or study.],"PI [While studying, I feel that some subjects are beyond my grasp.]",PI [I experience duality of mind whether the selected curriculum is proper or improper for me.],"PI [Due to the dislike for some subjects, I do not feel like studying.]",PI [I am in the habit of daydreaming while listening to the lectures or studying.],IPT [I get bored with uninterested teaching.],IPT [I am afraid of examinations due to the incomplete syllabus.],IPT [I become restless when I realize that my friends have completed their study.],IPT [There is a burden of high expectations of teachers upon me.],IPT [I get irritated due to the teacher's partiality.],"IPT [I become uneasy when my friends who get the same marks like me, are appreciated by others.]",IPT [I become uncomfortable when I do not get the appointment of the teachers for clearing my doubts.],IPT [I have to study regularly in order to get more marks than my friends.],IPT [I feel like avoiding the college as my friends tease me.],IPT [I get angry because some teachers avoid lectures.],IPT [I have a pressure of completing home assignments in time.],IPT [I become frightened while answering the questions asked by the teachers.],IPT [I feel the pressure of teachers' strict discipline.],IPT [I become uneasy when I waste my time in the company of my friends.],IPT [I feel pressure while communicating with teachers due to the internal disputes between them.],IPT [I dare not asking questions to the teachers.],"IPT [Due to the grouping of students, I always feel under the pressure.]",FE [I become restless due to the non-preparation in the examination.],FE [I become sad or nervous with the idea of getting fewer marks in the examination.],FE [I become irritated because I do not get enough sleep during the examination.],FE [It troubles me that I might fell sick during the examination.],FE [I have become insensitive due to exhaustive study.],FE [I experience the problem of indigestion during examination time.],FE [I become frightened while entering the examination hall.],FE [I am afraid of failure in the examination despite good study.],FE [I frequently become sick during the examination.],FE [I don't have sound sleep due to the thoughts of examination.],FE [I become tense due to the incomplete study of some subjects.],IFC [I become unenthusiastic due to the non-ventilated atmosphere in the classroom.],IFC [I become angry due to the non-cooperation of the non-teaching staff.],IFC [I become nervous if I do not get a seat in the study room.],IFC [I get bored due to non-ventilated classrooms.],IFC [The constant noise around the college campus troubles me.],IFC [Academic overload makes me tired.],IFC [I become fatigued due to the busy academic schedule of college.],IFC [I feel like taking holiday due to the academic burden.],"IFC [Due to unavailability of expert teachers and inadequate subject knowledge of teachers, I become uncomfortable.]",PE&SES [I feel the pressure of strict disciplined parents.],PE&SES [I get tired adjusting with study and household duties.],PE&SES [There is a pressure of parents on me to get highest marks.],PE&SES [I become nervous as I can't participate in trip due to financial problems.],PE&SES [There is a pressure of parents on me to study hard instead of wasting time in the company of friends.],PE&SES [The financial problem of my family makes me anxious.],PE&SES [I am irritated with the constant suggestions by the parents for study.],PE&SES [There is a pressure of returning home early from the college.],PE&SES [I become sad because I cannot enjoy like my other friends due to financial problems.],PE&SES [There is a pressure of parents on me to score more marks than my friends.],PE&SES [I feel nervous because I can't purchase reference books or notes in time.],PE&SES [I suffer from an inferiority complex because the social status of my family is low compared to friends.],PE&SES [There is a pressure of parents on me to participate in extracurricular activities.],PI_Score,IPT_Score,FE_Score,IFC_Score,PESES_Score,Total_Stress_Score
Between 18 to 25,Male,Rural,Married,Other Backward Classes (OBC),Above Poverty Line (APL),College,Government,Distance mode,Arts,Arts,Second,Literate,Literate,No,No,2,4,4,2,4,4,4,4,4,4,4,5,4,3,4,5,4,5,4,4,4,5,5,4,5,5,4,4,4,4,2,2,4,4,4,5,4,2,2,2,4,1,4,5,4,4,5,4,4,4,2,2,4,2,4,2,2,4,1,2,3,3,2,4,4,3,61,69,37,33,36,236
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Distance mode,Science,Science,Second,Above Graduation,Literate,No,No,4,4,4,3,1,5,3,3,4,4,2,2,5,4,4,2,5,3,3,4,4,4,3,4,4,4,4,3,4,3,4,1,1,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,3,4,2,4,4,4,4,54,58,41,35,47,235
Between 18 to 25,Male,Urban,Unmarried,General,Antyodaya,University,Private,Distance mode,Not Applicable,Not Applicable,First,Graduate,Graduate,No,No,3,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,21,20,11,13,16,81
Between 18 to 25,Female,Urban,Married,General,Above Poverty Line (APL),University,Private,Distance mode,Arts,Arts,Second,Graduate,Graduate,No,No,2,3,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,34,24,20,26,137
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Distance mode,Arts,Arts,Third,Above Graduation,Graduate,No,No,4,4,4,5,4,4,4,4,3,3,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,5,4,4,5,5,4,2,4,4,3,4,4,4,4,4,4,5,5,5,5,5,3,4,4,4,3,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,63,71,46,36,62,278
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Not Applicable,Sixth,Literate,Intermediate,No,No,3,3,4,4,2,4,3,3,4,3,3,4,4,4,3,4,5,3,2,4,2,2,3,3,2,4,3,3,3,3,3,2,3,3,2,2,2,3,2,3,2,2,4,4,3,4,2,4,3,3,3,3,5,3,3,3,4,4,4,3,1,3,3,2,3,3,55,50,29,30,39,203
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),University,Private,Regular mode,Arts,Arts,Second,Intermediate,Intermediate,No,No,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,1,1,2,4,2,2,2,2,2,2,2,2,2,4,3,2,4,2,2,3,3,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,4,2,2,2,2,2,2,2,32,34,29,20,29,144
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Yoga science ,Second,Literate,Literate,No,No,3,4,2,2,2,2,4,2,2,2,2,2,2,2,2,4,2,4,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,39,38,28,18,28,151
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Commerce,Not Applicable,Sixth,Literate,Literate,No,No,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49,46,22,18,26,161
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Not Applicable,Forth,Intermediate,Intermediate,No,No,3,4,2,4,4,4,4,4,4,2,2,2,2,4,2,4,4,4,4,2,2,2,2,4,2,2,2,2,2,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,2,4,4,2,2,4,4,4,2,2,2,4,4,4,4,2,4,2,4,2,2,51,48,40,30,38,207
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Private,Regular mode,Arts,Not Applicable,Forth,Intermediate,Graduate,No,No,3,5,3,2,1,5,5,5,3,4,4,5,2,1,3,4,2,4,2,3,5,3,3,4,5,2,2,4,3,5,5,4,5,4,3,5,3,2,2,4,4,5,3,5,3,4,3,3,5,3,3,4,4,1,3,2,1,3,5,1,2,5,5,3,3,2,55,61,40,32,36,224
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),University,Private,Regular mode,Arts,Not Applicable,Forth,Intermediate,Intermediate,No,No,2,4,3,3,1,2,3,3,3,3,4,3,3,4,3,2,3,3,3,3,4,4,4,2,3,5,5,5,4,2,3,4,4,4,1,1,1,1,2,2,4,3,1,3,4,4,4,2,4,4,2,2,2,1,1,4,5,5,5,5,5,5,5,4,4,1,46,61,23,28,50,208
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Forth,Intermediate,Graduate,No,No,4,4,4,5,3,5,4,4,4,3,3,3,2,1,5,3,4,5,4,3,3,3,2,2,1,4,4,4,5,3,5,2,4,3,5,4,5,3,4,3,5,3,5,4,3,5,3,5,3,5,3,3,5,3,4,5,2,3,5,4,3,5,4,3,3,5,57,58,44,35,49,243
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Science,Not Applicable,Forth,Graduate,Graduate,No,No,3,4,4,2,5,4,4,3,4,3,2,2,4,3,4,2,4,4,4,4,4,3,4,4,2,3,5,4,4,4,5,4,2,3,4,4,4,4,3,2,4,4,5,4,3,3,4,4,2,4,3,4,4,2,4,5,5,5,2,2,5,2,4,2,2,2,53,64,41,31,42,231
Between 18 to 25,Female,Urban,Unmarried,General,Antyodaya,University,Government,Regular mode,Science,Not Applicable,Forth,Above Graduation,Above Graduation,No,No,5,4,2,1,3,2,4,1,2,3,2,2,3,2,2,2,2,3,1,2,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,4,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,40,30,24,20,24,138
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Not Applicable,Sixth,Literate,Literate,No,No,3,2,3,4,2,2,2,2,2,2,1,1,2,2,2,4,4,2,4,2,2,2,2,4,1,1,2,3,2,2,2,2,2,1,1,2,2,3,2,4,4,2,2,4,2,2,4,4,3,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,1,36,39,27,23,19,144
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Not Applicable,Sixth,Literate,Intermediate,No,No,2,2,2,3,2,2,2,1,2,2,1,2,2,3,2,4,4,3,2,3,2,2,3,3,2,4,2,2,2,2,1,1,1,4,4,2,2,3,2,2,1,1,1,4,2,4,2,4,3,2,2,2,4,3,1,1,3,4,2,2,2,2,2,2,2,3,34,39,26,25,29,153
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Fifth,Literate,Literate,No,No,4,3,2,3,4,4,5,2,5,3,5,3,5,4,4,4,5,3,3,3,5,3,4,3,3,4,5,3,3,3,4,4,4,4,3,4,4,3,2,2,4,2,2,4,3,4,4,4,4,5,4,4,4,2,4,2,3,4,4,4,3,3,2,4,2,3,60,62,34,36,40,232
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Arts,Forth,Graduate,Graduate,No,No,2,3,3,3,2,3,2,2,2,3,3,3,3,3,2,2,2,2,3,2,1,2,2,2,2,2,2,3,1,3,2,2,2,2,2,3,4,3,3,2,2,4,3,3,2,2,2,3,3,3,2,4,1,2,5,3,3,2,3,2,3,3,2,2,2,2,41,35,31,22,34,163
Between 18 to 25,Male,Rural,Unmarried,General,Antyodaya,University,Government,Regular mode,Science,Arts,Forth,Literate,Literate,No,No,2,3,3,3,2,2,2,2,3,3,2,3,3,3,2,2,1,1,2,3,1,1,1,3,1,1,1,2,1,2,1,2,3,3,3,2,2,2,2,3,3,2,2,2,1,1,2,1,1,2,1,3,1,1,2,1,3,1,4,1,1,2,1,1,1,1,40,27,26,13,20,126
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Arts,Third,Literate,Graduate,No,No,4,3,5,3,2,3,4,5,5,1,1,4,5,5,5,5,5,5,5,3,3,5,5,3,1,1,2,5,3,2,2,3,4,5,5,3,1,4,3,5,5,1,1,5,4,1,4,4,5,5,3,2,3,4,2,3,4,4,5,5,2,4,4,4,4,2,60,57,38,31,47,233
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Sixth,Literate,Above Graduation,No,No,3,1,2,2,1,4,1,2,3,3,1,1,1,2,2,2,2,3,4,2,2,1,1,3,1,1,3,3,3,4,2,2,2,2,4,4,3,2,2,4,3,2,2,4,4,2,4,4,4,2,2,1,2,3,4,3,3,2,1,1,1,3,1,1,1,1,31,39,32,25,25,152
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),University,Government,Regular mode,Not Applicable,College ,Sixth,Literate,Literate,No,No,1,2,4,2,1,4,1,1,4,1,1,1,5,1,4,2,4,4,2,4,4,2,4,4,2,2,2,4,2,4,4,4,2,4,4,4,4,4,2,2,4,2,2,4,2,2,2,4,4,4,4,4,2,2,4,2,4,4,4,2,4,4,4,2,4,4,35,54,36,28,44,197
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Arts,Forth,Graduate,Intermediate,No,No,3,2,2,1,2,4,3,3,3,3,1,1,2,2,2,2,4,1,1,3,3,1,3,3,1,3,3,2,1,2,3,2,1,3,4,4,4,2,2,1,1,1,2,4,3,3,1,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,36,37,28,21,24,146
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),College,Private,Regular mode,Arts,Not Applicable,Sixth,Intermediate,Above Graduation,No,No,3,3,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,51,51,33,27,39,201
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,BCA,Not Applicable,Second,Graduate,Above Graduation,No,No,3,3,4,3,3,4,2,3,4,3,2,2,4,3,4,3,4,5,4,3,3,2,4,4,1,5,5,4,5,4,3,4,4,5,5,4,3,4,4,4,4,3,2,4,3,4,4,4,5,4,5,4,5,3,5,4,1,4,3,1,3,1,2,2,1,3,50,64,42,38,33,227
Between 18 to 25,Male,Urban,Unmarried,Scheduled Caste,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Science,Fifth,Literate,Literate,No,No,2,2,3,2,1,4,2,1,3,2,2,3,4,3,3,3,4,4,4,2,3,4,3,3,3,3,3,3,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,40,53,33,27,39,192
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Forth,Above Graduation,Intermediate,No,No,4,4,4,4,4,3,4,5,4,2,2,2,4,4,4,5,5,5,2,2,2,2,3,4,2,2,2,4,3,2,3,4,4,4,4,4,4,2,2,2,4,2,3,4,4,3,2,4,4,2,2,2,3,1,4,1,1,1,1,2,1,1,1,2,1,2,59,51,35,26,19,190
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Not Applicable,Forth,Literate,Intermediate,No,No,4,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,2,2,3,4,3,3,3,4,4,3,4,3,2,4,3,3,3,4,2,4,4,4,3,2,2,2,2,2,3,3,3,3,3,2,3,4,4,2,4,4,4,4,4,2,5,5,4,5,5,5,61,53,31,28,53,226
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Not Applicable,Forth,Intermediate,Intermediate,No,No,4,4,4,4,3,4,3,3,3,4,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,5,2,4,3,5,4,3,4,2,2,3,2,2,3,2,2,4,3,3,3,3,4,3,3,3,3,2,3,3,3,3,2,3,2,2,3,2,3,2,54,56,29,28,33,200
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Forth,Literate,Literate,No,No,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,26,18,11,9,23,87
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,First,Literate,Literate,No,No,4,2,3,4,3,4,4,3,1,3,3,2,3,1,4,2,3,4,4,3,2,3,4,3,2,2,2,4,3,3,2,2,2,4,4,4,2,4,2,2,4,2,5,4,4,2,4,2,2,3,2,4,2,4,4,4,2,5,4,5,4,5,1,5,1,1,46,48,37,25,45,201
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Computer Science,Computer Science,Second,Graduate,Intermediate,No,No,4,2,5,5,2,4,3,4,3,2,2,3,3,3,3,4,3,4,3,3,3,3,3,3,2,2,3,4,3,4,3,2,3,3,4,3,4,1,2,2,4,1,1,3,3,3,3,3,5,4,4,4,4,3,4,2,5,2,5,2,3,1,1,5,4,1,52,51,28,33,38,202
Between 18 to 25,Female,Urban,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Second,Literate,Literate,No,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,80,81,52,38,65,316
Between 18 to 25,Female,Rural,Unmarried,Scheduled Tribe,Below Poverty Line (BPL),College,Government,Distance mode,Arts,Arts,Sixth,Intermediate,Intermediate,No,No,3,3,4,3,2,4,3,3,4,3,2,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,3,3,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,3,4,3,4,4,3,53,62,39,35,46,235
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Arts,Forth,Intermediate,Intermediate,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,36,22,18,26,134
Between 18 to 25,Female,Rural,Unmarried,General,Antyodaya,University,Government,Regular mode,Arts,Arts,Second,Graduate,Graduate,No,No,2,2,2,2,2,3,2,1,4,3,3,4,3,4,3,2,1,3,3,3,2,2,3,3,2,4,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,42,43,22,18,26,151
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Second,Literate,Intermediate,No,No,4,3,4,2,2,4,3,4,3,2,2,3,3,3,4,2,4,3,2,3,3,2,3,4,2,2,2,3,3,4,3,3,2,3,3,4,3,2,3,3,2,2,3,3,3,3,2,4,4,3,3,3,3,1,3,2,2,2,3,2,2,1,2,2,2,2,48,48,31,28,26,181
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Private,Regular mode,Arts,Arts,Forth,Literate,Literate,No,No,3,3,4,3,4,4,4,4,3,4,3,3,3,3,4,2,4,3,2,3,3,3,2,4,2,2,4,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,3,3,3,4,3,2,2,2,4,3,3,4,3,3,3,2,2,2,2,54,46,23,25,35,183
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Science,Yoga,Forth,Literate,Literate,No,No,4,3,4,5,3,4,4,3,4,3,3,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,2,4,3,4,3,2,4,2,4,5,5,4,5,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,4,3,4,4,4,59,59,44,34,48,244
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Private,Regular mode,"B.A (hindi, drawing,English, yoga) ",B.A,Forth,Literate,Literate,No,No,3,2,3,3,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,39,34,22,18,28,141
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Arts,Second,Literate,Literate,No,No,4,2,4,4,4,4,4,5,4,2,2,4,4,4,4,5,4,4,3,4,2,4,4,4,2,2,3,2,2,4,2,3,3,4,4,3,4,3,4,3,4,3,3,3,3,2,3,4,3,4,3,4,3,3,4,3,4,4,4,3,2,4,3,4,2,2,60,52,38,29,42,221
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Second,Literate,Above Graduation,No,No,4,5,2,2,1,5,4,4,4,4,2,4,5,4,5,4,2,5,2,4,1,1,4,4,2,2,4,2,2,1,1,2,1,4,4,5,1,1,2,5,2,3,2,5,2,1,2,5,4,2,4,3,3,4,3,5,2,5,5,2,1,2,2,2,2,2,59,40,34,26,37,196
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Forth,Intermediate,Graduate,No,No,4,2,4,4,2,4,4,2,4,4,4,4,4,4,4,2,4,2,5,4,2,2,4,4,1,1,2,2,2,2,1,1,1,4,1,1,5,3,1,1,1,4,4,4,4,3,4,4,3,3,4,5,3,3,5,5,1,1,2,3,4,3,3,5,5,3,56,40,29,33,43,201
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,MA YOGIC SCIENCE ,Second,Literate,Intermediate,No,No,2,2,2,1,2,3,3,2,2,2,2,2,4,2,3,2,3,4,2,2,5,2,4,3,1,3,2,3,4,1,2,4,1,4,4,4,3,2,2,3,2,2,3,4,3,4,3,4,4,3,3,4,3,1,4,1,2,1,4,2,2,3,1,3,2,2,36,46,33,31,28,174
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,MA yogic science,Second,Literate,Literate,No,No,2,2,3,2,2,3,2,3,2,2,3,2,4,2,3,2,3,4,2,2,5,2,4,3,1,3,2,3,4,1,2,4,1,4,4,4,3,2,2,3,2,2,3,3,3,4,3,4,4,3,3,3,3,1,4,2,2,1,4,2,2,3,1,3,2,2,39,46,32,30,29,176
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Arts,Forth,Literate,Literate,No,No,4,3,4,2,2,4,4,4,4,4,4,4,4,3,5,4,3,4,4,4,4,2,4,3,1,4,4,4,2,4,4,3,2,4,3,4,4,4,2,4,3,2,1,3,1,2,5,5,2,3,3,3,2,3,4,3,3,3,4,4,1,4,4,3,5,1,59,56,34,26,42,217
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Commerce,Ma yogic science,Second,Intermediate,Above Graduation,No,No,2,2,2,1,3,3,2,3,2,2,2,2,4,2,3,2,3,4,3,3,4,2,4,3,1,3,2,3,4,2,2,4,3,3,2,2,3,2,2,3,4,3,2,4,2,2,2,2,4,3,3,2,2,2,3,2,3,4,4,2,3,2,2,2,2,2,37,50,30,22,33,172
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Private,Regular mode,Arts,Arts,Forth,Intermediate,Intermediate,No,No,2,2,2,2,2,3,3,4,4,2,2,2,3,4,4,2,2,4,2,2,2,2,4,5,2,2,2,4,2,3,2,4,3,4,4,4,4,4,3,4,4,2,4,4,3,2,5,4,4,4,4,2,3,2,3,2,2,4,2,3,3,2,2,2,2,2,43,47,41,31,31,193
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Not Applicable,Forth,Intermediate,Intermediate,No,No,4,4,4,2,2,3,3,2,2,4,4,4,2,2,4,2,2,2,2,2,2,2,4,3,2,2,4,2,2,3,2,4,2,2,4,4,3,3,4,2,4,2,3,3,4,4,2,3,3,2,3,3,2,4,2,2,2,2,2,2,2,2,2,4,2,2,48,42,34,26,30,180
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Forth,Literate,Literate,No,No,4,3,3,3,2,4,4,3,3,2,2,2,3,2,3,3,2,4,2,3,4,3,4,4,1,3,1,3,3,2,2,2,2,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,5,3,3,3,3,3,3,4,3,4,3,1,46,45,38,28,41,198
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Not Applicable,Forth,Graduate,Graduate,No,No,3,3,3,4,4,4,4,5,4,1,2,3,3,4,3,4,5,4,4,3,5,2,3,4,1,1,3,1,1,2,3,3,1,5,5,3,3,3,3,3,5,1,3,4,4,5,2,3,3,5,5,5,4,3,5,4,5,3,5,4,1,5,3,3,3,3,54,46,38,36,47,221
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Second,Intermediate,Intermediate,No,No,4,2,3,3,2,4,3,3,2,3,1,2,2,4,2,2,2,2,4,2,3,1,3,3,4,3,4,4,3,4,4,3,3,2,4,2,4,3,2,2,4,5,3,4,3,3,2,3,4,4,3,2,4,2,4,2,4,4,4,3,5,4,3,4,2,2,42,52,35,28,43,200
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Second,Intermediate,Intermediate,No,No,5,3,5,5,5,4,1,4,4,1,5,2,5,5,4,2,5,5,2,5,2,2,2,5,2,2,5,5,5,4,4,1,1,1,1,1,1,1,5,5,5,5,4,4,4,3,2,2,2,5,5,2,5,3,3,2,1,4,4,5,4,2,2,1,1,2,60,57,33,30,34,214
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Second,Literate,Intermediate,No,No,4,4,3,3,3,3,4,3,4,3,3,3,3,4,3,2,2,4,4,4,2,4,2,4,2,2,4,2,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,4,2,2,4,4,5,5,4,3,5,4,4,4,3,52,52,42,32,49,227
